ssss (sto3g),237.29, 4542
ssss (631g),44.8, 2574
psps (sto3g),19.53, 1460
psps (631g),7.53, 903
pppp (sto3g),1.44, 587
pppp (631g),1.00, 459
psssbraket (sto3g), 0.13, 22.2
psssbraket (631g), 0.13, 15.3
